References: P01.D001; P01.D002; P01.DOO3

VecteurPu	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242	Am241	shortName
PWR.33000	1.3	56.6	23.2	13.9	4.7	0.3	P33
PWR.43000	2.0	52.5	24.1	14.7	6.2	0.5	P43
PWR.53000	2.7	50.4	24.1	15.2	7.1	0.5	P53
BWR.27500	2.6	59.8	23.7	10.6	3.3	0.0	B27
BWR.30400	0.0	56.8	23.8	14.3	5.1	0.0	B30
CANDU.7500	0.0	66.6	26.6	5.3	1.5	0.0	C7
AGR.18000	0.6	53.7	30.8	9.9	5.0	0.0	A18
Magnox.3000	0.1	80.0	16.9	2.7	0.3	0.0	M3
Magnox.5000	0.0	68.5	25.0	5.3	1.2	0.0	M5
GFR.Pu2016	2.7	56.0	25.9	7.4	7.3	0.7	G16
GFR.Pu2035	3.6	47.4	29.6	8.2	10.4	0.8	G35
4S.Pu    	0.0	66.0	27.0	2.0	5.0	0.0	4S
